State	County	UFO Sightings	Median Household Income (USD)	Percent In Poverty	Population
TX	Rusk	18	43,318	15.3	53330
TX	Upton	4	47,407	15.7	3355
TX	Live Oak	2	39,091	18.6	11531
TX	Hockley	2	40,334	19.1	22935
TX	Victoria	16	46,566	18.2	86793
TX	Montague	6	42,415	16.1	19719
TX	El Paso	1892	36,064	24.6	800647
TX	Harris	24213	50,437	18.7	4092459
TX	Coryell	78	45,431	12.4	75388
TX	Crane	0	50,356	9.9	4375
TX	Dimmit	0	29,685	31	9996
TX	Shackelford	3	42,685	13.5	3378
TX	Matagorda	12	39,874	19.9	36702
TX	Palo Pinto	7	39,595	16.8	28111
TX	Culberson	0	30,666	26.2	2398
TX	Uvalde	1	31,941	26.4	26405
TX	Ector	78	42,339	19.6	137130
TX	Camp	1	37,704	21.3	12401
TX	Kerr	3	42,064	15.6	49625
TX	Scurry	0	44,063	17.4	16921
TX	Navarro	12	37,864	21.5	47735
TX	Childress	0	35,171	22.8	7041
TX	Burleson	2	41,273	15.2	17187
TX	Tarrant	2950	52,482	14.4	1809034
TX	San Jacinto	30	42,770	19.1	26384
TX	Erath	40	38,068	18.5	37890
TX	Upshur	6	42,508	16.3	39309
TX	Colorado	5	41,395	17.3	20874
TX	Parker	40	57,092	12	116927
TX	Aransas	7	38,516	22.3	23158
TX	Stephens	2	38,002	20	9630
TX	Armstrong	1	48,738	8.8	1901
TX	Freestone	15	42,266	18.1	19816
TX	Panola	7	48,621	13.8	23796
TX	Washington	4	44,245	14.8	33718
TX	Hall	7	29,302	24.1	3353
TX	Milam	24	36,799	19.8	24757
TX	Marion	1	32,173	23.7	10546
TX	Jasper	2	37,495	19.5	35710
TX	Lampasas	2	47,772	15.3	19677
TX	Hemphill	1	55,391	9.2	3807
TX	San Augustine	1	31,729	21.2	8865
TX	Polk	19	38,747	19.6	45413
TX	Newton	4	36,429	23.3	14445
TX	Jackson	1	42,097	16.2	14075
TX	Kent	1	37,318	11.2	808
TX	Howard	6	39,022	22.9	35012
TX	Caldwell	2	41,749	17.3	38066
TX	Potter	300	35,323	24.5	121073
TX	Deaf Smith	2	36,638	20.6	19372
TX	Mills	8	36,108	17.2	4936
TX	Liberty	10	46,770	18.8	75643
TX	Mason	3	38,802	16.2	4012
TX	Anderson	16	40,482	20.9	58458
TX	Jefferson	64	39,756	22.6	252273
TX	Dickens	2	32,669	21.4	2444
TX	Orange	47	45,264	15.1	81837
TX	Hardin	7	49,556	13	54635
TX	Nacogdoches	61	35,854	25.5	64524
TX	Lamar	25	38,852	18.4	49793
TX	Lee	3	45,661	13.1	16612
TX	Oldham	0	43,739	13.4	2052
TX	Maverick	15	27,710	39.9	54258
TX	Sherman	1	41,518	12.5	3034
TX	Crockett	3	42,329	15.8	3719
TX	Jeff Davis	11	46,122	12.1	2342
TX	Throckmorton	0	37,273	14.7	1641
TX	Terry	6	34,495	21.9	12651
TX	Randall	10	57,862	8.7	120725
TX	Ward	1	41,625	20.1	10658
