Name,Postal,Median Household Income,Poverty Percent All Ages,State FIPS,County FIPS,90% CI Lower Bound,90% CI Upper Bound,90% CI Lower Bound,90% CI Upper Bound,Poverty Estimate Under Age 18,90% CI Lower Bound,90% CI Upper Bound,Poverty Percent Under Age 18,90% CI Lower Bound,90% CI Upper Bound,Poverty Estimate Ages 5-17,90% CI Lower Bound,90% CI Upper Bound,Poverty Percent Ages 5-17,90% CI Lower Bound,90% CI Upper Bound,90% CI Lower Bound,90% CI Upper Bound
Newaygo County,MI,"38,846",19.8,26,123,"8,191","10,679",17.2,22.4,"3,379","2,826","3,932",28.7,24.0,33.4,"2,274","1,865","2,683",26.0,21.3,30.7,"36,187","41,505"
Oakland County,MI,"60,392",10.3,26,125,"114,026","131,838",9.6,11.0,"37,083","33,432","40,734",13.3,12.0,14.6,"25,087","22,233","27,941",11.9,10.5,13.3,"59,368","61,416"
Oceana County,MI,"37,629",22.0,26,127,"4,874","6,648",18.6,25.4,"2,094","1,666","2,522",32.7,26.0,39.4,"1,380","1,078","1,682",29.9,23.4,36.4,"34,813","40,445"
Ogemaw County,MI,"34,595",19.4,26,129,"3,426","4,842",16.1,22.7,"1,311",991,"1,631",30.6,23.1,38.1,902,681,"1,123",27.9,21.1,34.7,"32,448","36,742"
Ontonagon County,MI,"36,566",16.1,26,131,852,"1,294",12.8,19.4,284,220,348,27.0,20.9,33.1,185,141,229,22.6,17.2,28.0,"33,586","39,546"
Osceola County,MI,"37,840",20.2,26,133,"3,894","5,420",16.9,23.5,"1,602","1,258","1,946",29.0,22.8,35.2,"1,021",777,"1,265",25.2,19.2,31.2,"35,566","40,114"
Oscoda County,MI,"31,303",21.0,26,135,"1,402","2,180",16.4,25.6,619,475,763,36.0,27.6,44.4,438,339,537,34.2,26.5,41.9,"28,657","33,949"
Otsego County,MI,"43,601",12.8,26,137,"2,413","3,679",10.1,15.5,"1,158",881,"1,435",21.5,16.3,26.7,776,591,961,19.5,14.9,24.1,"40,365","46,837"
Ottawa County,MI,"53,454",11.4,26,139,"25,608","32,732",10.0,12.8,"8,956","7,516","10,396",13.2,11.1,15.3,"5,793","4,759","6,827",11.6,9.5,13.7,"51,605","55,303"
Presque Isle County,MI,"36,376",14.9,26,141,"1,573","2,345",12.0,17.8,598,460,736,26.4,20.3,32.5,421,327,515,24.0,18.6,29.4,"34,331","38,421"
Roscommon County,MI,"32,401",22.2,26,143,"4,507","6,189",18.7,25.7,"1,500","1,189","1,811",39.4,31.2,47.6,"1,031",817,"1,245",36.3,28.8,43.8,"30,002","34,800"
Saginaw County,MI,"41,714",17.8,26,145,"30,090","38,808",15.5,20.1,"12,223","9,941","14,505",26.7,21.7,31.7,"8,021","6,394","9,648",23.6,18.8,28.4,"40,328","43,100"
St. Clair County,MI,"44,706",15.4,26,147,"21,559","27,839",13.4,17.4,"8,328","6,985","9,671",22.1,18.5,25.7,"5,299","4,296","6,302",18.6,15.1,22.1,"42,779","46,633"
St. Joseph County,MI,"41,535",16.7,26,149,"8,425","11,753",13.9,19.5,"3,984","3,149","4,819",25.8,20.4,31.2,"2,609","2,014","3,204",23.3,18.0,28.6,"39,681","43,389"
Sanilac County,MI,"39,646",17.2,26,151,"6,088","8,538",14.3,20.1,"2,602","2,041","3,163",26.1,20.5,31.7,"1,748","1,354","2,142",23.5,18.2,28.8,"37,936","41,356"
Schoolcraft County,MI,"37,180",15.9,26,153,"1,042","1,602",12.5,19.3,424,323,525,25.9,19.7,32.1,274,206,342,22.0,16.6,27.4,"34,029","40,331"
Shiawassee County,MI,"45,444",15.0,26,155,"8,759","12,029",12.6,17.4,"3,596","2,900","4,292",21.6,17.4,25.8,"2,328","1,856","2,800",18.4,14.7,22.1,"42,618","48,270"
Tuscola County,MI,"40,808",16.3,26,157,"7,672","10,086",14.1,18.5,"2,970","2,414","3,526",23.6,19.2,28.0,"2,039","1,647","2,431",21.6,17.5,25.7,"38,458","43,158"
Van Buren County,MI,"43,659",15.6,26,159,"9,920","13,544",13.2,18.0,"4,435","3,567","5,303",23.4,18.8,28.0,"2,948","2,320","3,576",21.0,16.5,25.5,"41,298","46,020"
Washtenaw County,MI,"56,177",13.0,26,161,"38,013","47,117",11.6,14.4,"9,580","7,846","11,314",13.4,11.0,15.8,"5,775","4,542","7,008",11.1,8.7,13.5,"54,026","58,328"
Wayne County,MI,"39,421",23.9,26,163,"412,161","446,655",22.9,24.9,"156,419","147,981","164,857",34.6,32.7,36.5,"109,274","103,055","115,493",32.7,30.8,34.6,"38,580","40,262"
Wexford County,MI,"36,316",17.0,26,165,"4,497","6,509",13.9,20.1,"2,103","1,654","2,552",27.2,21.4,33.0,"1,402","1,087","1,717",25.5,19.8,31.2,"33,851","38,781"
Minnesota,MN,"55,422",11.5,27,000,"583,230","607,740",11.3,11.7,"189,999","182,563","197,435",15.0,14.4,15.6,"124,031","117,459","130,603",13.6,12.9,14.3,"54,978","55,866"
Aitkin County,MN,"38,646",13.1,27,001,"1,628","2,552",10.2,16.0,688,525,851,24.1,18.4,29.8,438,328,548,21.1,15.8,26.4,"35,689","41,603"
Anoka County,MN,"65,732",7.4,27,003,"20,565","28,011",6.3,8.5,"8,655","6,999","10,311",10.2,8.2,12.2,"5,700","4,557","6,843",9.1,7.3,10.9,"64,199","67,265"
Becker County,MN,"43,970",14.6,27,005,"3,889","5,457",12.2,17.0,"1,773","1,422","2,124",22.5,18.0,27.0,"1,119",870,"1,368",19.8,15.4,24.2,"40,699","47,241"
Beltrami County,MN,"40,308",20.8,27,007,"7,451","10,237",17.5,24.1,"3,199","2,606","3,792",29.6,24.1,35.1,"2,109","1,705","2,513",28.4,23.0,33.8,"37,290","43,326"
Benton County,MN,"49,736",10.5,27,009,"3,295","4,683",8.7,12.3,"1,180",908,"1,452",12.7,9.8,15.6,738,558,918,11.4,8.6,14.2,"46,836","52,636"
Big Stone County,MN,"40,829",11.3,27,011,450,708,8.8,13.8,168,129,207,15.5,11.9,19.1,111,84,138,14.0,10.6,17.4,"37,853","43,805"
Blue Earth County,MN,"46,835",16.9,27,013,"9,061","11,327",15.0,18.8,"1,769","1,413","2,125",14.5,11.6,17.4,"1,226",987,"1,465",14.6,11.7,17.5,"43,727","49,943"
Brown County,MN,"43,924",9.3,27,015,"1,893","2,741",7.6,11.0,670,523,817,11.9,9.3,14.5,445,347,543,11.0,8.6,13.4,"41,389","46,459"
Carlton County,MN,"48,959",10.8,27,017,"2,992","4,276",8.9,12.7,"1,071",839,"1,303",13.1,10.3,15.9,682,524,840,11.6,8.9,14.3,"45,517","52,401"
Carver County,MN,"81,935",4.9,27,019,"3,513","5,337",3.9,5.9,"1,515","1,173","1,857",5.6,4.3,6.9,965,745,"1,185",4.7,3.6,5.8,"77,483","86,387"
Cass County,MN,"40,580",16.4,27,021,"3,897","5,413",13.7,19.1,"1,645","1,282","2,008",27.0,21.0,33.0,"1,116",851,"1,381",25.7,19.6,31.8,"38,129","43,031"
Chippewa County,MN,"44,717",10.0,27,023,958,"1,494",7.8,12.2,438,331,545,15.2,11.5,18.9,285,214,356,14.0,10.5,17.5,"40,812","48,622"
Chisago County,MN,"63,237",7.4,27,025,"3,125","4,693",5.9,8.9,"1,286",998,"1,574",9.4,7.3,11.5,814,626,"1,002",7.9,6.1,9.7,"60,996","65,478"
Clay County,MN,"48,395",12.8,27,027,"5,990","8,220",10.8,14.8,"1,993","1,566","2,420",14.6,11.5,17.7,"1,288",991,"1,585",13.5,10.4,16.6,"44,870","51,920"
Clearwater County,MN,"41,913",15.7,27,029,"1,056","1,640",12.3,19.1,530,401,659,24.6,18.6,30.6,363,276,450,23.6,17.9,29.3,"39,000","44,826"
Cook County,MN,"43,694",9.6,27,031,375,613,7.3,11.9,139,105,173,15.8,12.0,19.6,89,67,111,13.7,10.3,17.1,"39,606","47,782"
Cottonwood County,MN,"44,219",11.0,27,033,993,"1,545",8.6,13.4,432,327,537,15.5,11.7,19.3,275,205,345,13.4,10.0,16.8,"40,954","47,484"
Crow Wing County,MN,"45,068",12.3,27,035,"6,381","8,867",10.3,14.3,"2,502","1,921","3,083",17.7,13.6,21.8,"1,692","1,298","2,086",16.8,12.9,20.7,"42,613","47,523"
Dakota County,MN,"69,688",7.0,27,037,"24,403","30,897",6.2,7.8,"9,400","7,904","10,896",9.0,7.6,10.4,"5,841","4,729","6,953",7.7,6.2,9.2,"67,650","71,726"
Dodge County,MN,"60,398",6.9,27,039,"1,055","1,685",5.3,8.5,520,391,649,9.0,6.8,11.2,348,260,436,8.2,6.1,10.3,"56,496","64,300"
Douglas County,MN,"48,434",9.6,27,041,"2,802","4,044",7.9,11.3,992,754,"1,230",12.8,9.7,15.9,655,491,819,11.8,8.8,14.8,"45,605","51,263"
Faribault County,MN,"44,645",10.8,27,043,"1,168","1,876",8.3,13.3,565,424,706,18.4,13.8,23.0,373,280,466,16.6,12.4,20.8,"40,906","48,384"
Fillmore County,MN,"45,476",12.4,27,045,"2,053","3,033",10.0,14.8,933,731,"1,135",18.6,14.6,22.6,649,511,787,18.4,14.5,22.3,"42,118","48,834"
Freeborn County,MN,"42,250",12.3,27,047,"3,153","4,393",10.3,14.3,"1,152",907,"1,397",17.2,13.6,20.8,723,558,888,15.1,11.6,18.6,"39,650","44,850"
Goodhue County,MN,"55,687",8.3,27,049,"3,035","4,491",6.7,9.9,"1,229",943,"1,515",11.5,8.8,14.2,806,611,"1,001",10.4,7.9,12.9,"51,886","59,488"
Grant County,MN,"44,039",10.8,27,051,508,774,8.5,13.1,207,160,254,16.2,12.5,19.9,135,103,167,15.0,11.4,18.6,"40,462","47,616"
Hennepin County,MN,"59,252",13.7,27,053,"148,556","163,316",13.0,14.4,"48,138","44,519","51,757",18.7,17.3,20.1,"32,247","29,598","34,896",17.7,16.2,19.2,"57,899","60,605"
Houston County,MN,"50,732",9.3,27,055,"1,402","2,092",7.5,11.1,547,414,680,12.5,9.4,15.6,363,273,453,11.3,8.5,14.1,"46,688","54,776"
Hubbard County,MN,"42,021",12.8,27,057,"2,112","3,050",10.5,15.1,889,684,"1,094",20.4,15.7,25.1,566,425,707,18.3,13.7,22.9,"39,400","44,642"
Isanti County,MN,"55,431",8.9,27,059,"2,619","4,029",7.0,10.8,"1,146",868,"1,424",11.9,9.0,14.8,770,578,962,11.2,8.4,14.0,"52,383","58,479"
Itasca County,MN,"45,813",12.2,27,061,"4,353","6,435",9.8,14.6,"1,810","1,401","2,219",19.2,14.9,23.5,"1,225",931,"1,519",17.6,13.4,21.8,"42,446","49,180"
Jackson County,MN,"50,251",9.7,27,063,769,"1,203",7.6,11.8,333,252,414,14.6,11.1,18.1,223,168,278,13.3,10.1,16.5,"47,341","53,161"
Kanabec County,MN,"42,737",13.6,27,065,"1,735","2,609",10.9,16.3,772,590,954,20.4,15.6,25.2,522,397,647,18.5,14.1,22.9,"40,492","44,982"
Kandiyohi County,MN,"44,926",14.6,27,067,"5,265","6,871",12.7,16.5,"2,215","1,881","2,549",22.3,18.9,25.7,"1,352","1,105","1,599",19.4,15.9,22.9,"42,590","47,262"
Kittson County,MN,"43,980",10.0,27,069,346,542,7.8,12.2,143,109,177,14.5,11.0,18.0,95,71,119,12.5,9.4,15.6,"40,313","47,647"
Koochiching County,MN,"41,695",14.6,27,071,"1,521","2,299",11.6,17.6,604,464,744,22.0,16.9,27.1,395,299,491,18.9,14.3,23.5,"37,862","45,528"
Lac qui Parle County,MN,"44,852",9.8,27,073,538,850,7.6,12.0,220,166,274,14.6,11.0,18.2,150,112,188,13.2,9.9,16.5,"40,973","48,731"
Lake County,MN,"47,499",11.2,27,075,959,"1,423",9.0,13.4,321,246,396,15.8,12.1,19.5,203,154,252,14.0,10.6,17.4,"43,157","51,841"
Lake of the Woods County,MN,"39,391",11.7,27,077,352,576,8.9,14.5,153,116,190,19.1,14.5,23.7,104,78,130,17.7,13.3,22.1,"35,900","42,882"
Le Sueur County,MN,"55,946",9.2,27,079,"2,037","2,993",7.5,10.9,813,640,986,11.7,9.2,14.2,545,428,662,10.7,8.4,13.0,"52,058","59,834"
Lincoln County,MN,"43,358",10.0,27,081,454,700,7.9,12.1,190,143,237,14.5,10.9,18.1,131,98,164,14.1,10.6,17.6,"39,764","46,952"
Lyon County,MN,"49,218",11.4,27,083,"2,299","3,373",9.2,13.6,865,670,"1,060",14.0,10.9,17.1,566,432,700,13.1,10.0,16.2,"45,791","52,645"
McLeod County,MN,"53,426",8.5,27,085,"2,508","3,678",6.9,10.1,"1,070",839,"1,301",11.7,9.2,14.2,667,504,830,10.0,7.5,12.5,"49,129","57,723"
Mahnomen County,MN,"35,978",22.1,27,087,960,"1,398",18.0,26.2,528,408,648,33.9,26.2,41.6,356,274,438,33.0,25.5,40.5,"33,350","38,606"
Marshall County,MN,"47,504",8.2,27,089,582,954,6.2,10.2,281,211,351,12.9,9.7,16.1,185,138,232,11.4,8.5,14.3,"43,948","51,060"
Martin County,MN,"47,910",11.6,27,091,"1,848","2,916",9.0,14.2,824,628,"1,020",18.1,13.8,22.4,556,422,690,16.7,12.7,20.7,"45,293","50,527"
Meeker County,MN,"49,784",8.9,27,093,"1,600","2,498",6.9,10.9,721,552,890,12.4,9.5,15.3,479,365,593,11.4,8.7,14.1,"47,161","52,407"
Mille Lacs County,MN,"41,944",13.1,27,095,"2,770","3,906",10.9,15.3,"1,165",925,"1,405",18.3,14.5,22.1,767,604,930,17.0,13.4,20.6,"38,759","45,129"
Morrison County,MN,"42,898",13.4,27,097,"3,605","5,167",11.0,15.8,"1,478","1,162","1,794",18.4,14.5,22.3,952,740,"1,164",16.5,12.8,20.2,"40,041","45,755"
Mower County,MN,"43,122",12.3,27,099,"3,863","5,619",10.0,14.6,"1,584","1,222","1,946",16.4,12.6,20.2,"1,050",795,"1,305",15.4,11.7,19.1,"40,161","46,083"
Murray County,MN,"50,262",8.9,27,101,596,930,6.9,10.9,252,191,313,13.3,10.1,16.5,171,130,212,12.5,9.5,15.5,"46,671","53,853"
Nicollet County,MN,"58,065",9.0,27,103,"2,136","3,376",7.0,11.0,795,602,988,11.0,8.3,13.7,501,376,626,9.8,7.4,12.2,"55,293","60,837"
Nobles County,MN,"44,777",13.8,27,105,"2,353","3,453",11.2,16.4,"1,005",780,"1,230",18.7,14.5,22.9,652,497,807,17.6,13.4,21.8,"40,700","48,854"
Norman County,MN,"41,375",11.3,27,107,567,941,8.5,14.1,287,212,362,17.7,13.1,22.3,196,146,246,16.1,12.0,20.2,"38,767","43,983"
Olmsted County,MN,"61,362",8.5,27,109,"10,146","14,156",7.1,9.9,"4,000","3,143","4,857",11.1,8.7,13.5,"2,532","1,944","3,120",10.0,7.7,12.3,"58,617","64,107"
Otter Tail County,MN,"44,096",13.4,27,111,"6,408","8,630",11.4,15.4,"2,348","1,940","2,756",19.2,15.9,22.5,"1,492","1,200","1,784",16.7,13.4,20.0,"41,315","46,877"
Pennington County,MN,"43,256",11.5,27,113,"1,206","1,914",8.9,14.1,487,367,607,15.1,11.4,18.8,328,247,409,14.4,10.8,18.0,"39,293","47,219"
Pine County,MN,"42,035",15.2,27,115,"3,474","4,964",12.5,17.9,"1,388","1,082","1,694",21.7,16.9,26.5,942,729,"1,155",20.2,15.6,24.8,"39,038","45,032"
Pipestone County,MN,"44,880",10.5,27,117,783,"1,189",8.3,12.7,370,280,460,15.9,12.1,19.7,234,174,294,13.9,10.3,17.5,"41,534","48,226"
Polk County,MN,"46,500",11.7,27,119,"2,768","4,388",9.0,14.4,"1,153",858,"1,448",15.6,11.6,19.6,742,549,935,14.0,10.3,17.7,"42,640","50,360"
Pope County,MN,"45,149",10.5,27,121,893,"1,379",8.3,12.7,347,263,431,15.1,11.4,18.8,232,173,291,14.1,10.5,17.7,"41,048","49,250"
Ramsey County,MN,"50,224",17.2,27,123,"79,319","90,077",16.1,18.3,"29,067","26,315","31,819",24.9,22.5,27.3,"19,313","17,327","21,299",23.6,21.2,26.0,"48,960","51,488"
Red Lake County,MN,"44,964",11.0,27,125,351,539,8.7,13.3,157,121,193,16.1,12.4,19.8,103,79,127,14.7,11.2,18.2,"41,712","48,216"
Redwood County,MN,"46,906",9.6,27,127,"1,176","1,842",7.5,11.7,547,417,677,13.9,10.6,17.2,364,276,452,12.7,9.6,15.8,"42,944","50,868"
Renville County,MN,"49,896",11.3,27,129,"1,373","2,087",9.0,13.6,608,468,748,17.0,13.1,20.9,398,303,493,14.9,11.3,18.5,"47,573","52,219"
Rice County,MN,"55,905",10.3,27,131,"4,715","7,029",8.3,12.3,"1,811","1,403","2,219",12.1,9.4,14.8,"1,127",855,"1,399",10.4,7.9,12.9,"51,850","59,960"
Rock County,MN,"44,751",10.8,27,133,830,"1,204",8.8,12.8,342,277,407,14.0,11.3,16.7,193,147,239,11.0,8.4,13.6,"40,980","48,522"
Roseau County,MN,"47,212",9.4,27,135,"1,150","1,726",7.5,11.3,496,385,607,12.5,9.7,15.3,322,246,398,10.8,8.2,13.4,"43,879","50,545"
St. Louis County,MN,"42,087",17.4,27,137,"30,575","36,073",16.0,18.8,"8,278","7,162","9,394",21.6,18.7,24.5,"4,772","3,935","5,609",17.4,14.3,20.5,"40,577","43,597"
Scott County,MN,"78,307",5.1,27,139,"5,304","7,732",4.2,6.0,"2,405","1,831","2,979",6.2,4.7,7.7,"1,535","1,158","1,912",5.4,4.1,6.7,"75,034","81,580"
Sherburne County,MN,"69,699",7.2,27,141,"5,019","7,367",5.8,8.6,"2,144","1,683","2,605",8.4,6.6,10.2,"1,342","1,035","1,649",7.3,5.6,9.0,"66,579","72,819"
Sibley County,MN,"47,048",10.0,27,143,"1,195","1,823",7.9,12.1,566,439,693,14.8,11.5,18.1,359,276,442,12.9,9.9,15.9,"44,144","49,952"
Stearns County,MN,"50,195",12.1,27,145,"15,255","19,553",10.6,13.6,"4,448","3,634","5,262",13.0,10.6,15.4,"2,816","2,241","3,391",11.5,9.1,13.9,"47,911","52,479"
Steele County,MN,"51,069",10.4,27,147,"3,136","4,330",8.7,12.1,"1,292","1,034","1,550",13.6,10.9,16.3,801,624,978,11.7,9.1,14.3,"48,198","53,940"
Stevens County,MN,"48,885",11.4,27,149,785,"1,243",8.8,14.0,221,167,275,11.0,8.3,13.7,135,102,168,9.5,7.2,11.8,"44,397","53,373"
Swift County,MN,"43,357",9.9,27,151,733,"1,173",7.6,12.2,293,220,366,13.7,10.3,17.1,190,142,238,12.1,9.0,15.2,"39,911","46,803"
Todd County,MN,"40,183",16.9,27,153,"3,506","4,790",14.3,19.5,"1,544","1,255","1,833",25.3,20.6,30.0,"1,038",834,"1,242",23.6,19.0,28.2,"37,712","42,654"
Traverse County,MN,"41,666",13.2,27,155,359,551,10.4,16.0,146,112,180,19.5,14.9,24.1,100,77,123,17.2,13.2,21.2,"37,677","45,655"
Wabasha County,MN,"51,702",7.5,27,157,"1,223","1,971",5.8,9.2,536,399,673,10.8,8.0,13.6,366,273,459,10.1,7.6,12.6,"48,580","54,824"
Wadena County,MN,"36,412",16.8,27,159,"1,795","2,705",13.4,20.2,783,604,962,24.1,18.6,29.6,531,408,654,22.8,17.5,28.1,"33,324","39,500"
Waseca County,MN,"50,149",10.7,27,161,"1,518","2,286",8.5,12.9,664,517,811,15.0,11.7,18.3,440,340,540,13.7,10.6,16.8,"45,954","54,344"
Washington County,MN,"77,591",5.8,27,163,"11,529","15,865",4.9,6.7,"4,490","3,641","5,339",7.1,5.8,8.4,"2,834","2,253","3,415",5.9,4.7,7.1,"74,723","80,459"
Watonwan County,MN,"43,699",11.4,27,165,980,"1,546",8.8,14.0,476,365,587,17.2,13.2,21.2,298,222,374,15.0,11.2,18.8,"39,760","47,638"
Wilkin County,MN,"48,611",9.5,27,167,468,748,7.3,11.7,207,156,258,13.6,10.2,17.0,137,102,172,11.9,8.9,14.9,"44,449","52,773"
Winona County,MN,"42,113",15.4,27,169,"6,196","8,308",13.2,17.6,"1,479","1,149","1,809",15.1,11.7,18.5,982,764,"1,200",13.9,10.8,17.0,"39,599","44,627"
Wright County,MN,"66,714",5.8,27,171,"5,797","8,623",4.7,6.9,"2,667","2,050","3,284",7.2,5.5,8.9,"1,766","1,343","2,189",6.8,5.2,8.4,"62,800","70,628"
Yellow Medicine County,MN,"46,595",12.7,27,173,"1,083","1,515",10.6,14.8,438,359,517,18.1,14.9,21.3,293,239,347,16.8,13.7,19.9,"43,101","50,089"
Mississippi,MS,"36,992",22.4,28,000,"629,743","658,569",21.9,22.9,"240,782","232,859","248,705",32.4,31.3,33.5,"160,282","153,313","167,251",30.2,28.9,31.5,"36,390","37,594"
Adams County,MS,"28,587",30.8,28,001,"7,777","10,649",26.0,35.6,"2,958","2,357","3,559",41.8,33.3,50.3,"2,047","1,635","2,459",40.3,32.2,48.4,"26,126","31,048"
Alcorn County,MS,"33,299",22.5,28,003,"6,819","9,629",18.7,26.3,"2,877","2,308","3,446",32.4,26.0,38.8,"1,880","1,471","2,289",29.4,23.0,35.8,"30,624","35,974"
Amite County,MS,"31,799",22.5,28,005,"2,273","3,549",17.6,27.4,"1,013",776,"1,250",34.7,26.6,42.8,700,537,863,34.5,26.4,42.6,"28,863","34,735"
Attala County,MS,"29,317",24.3,28,007,"3,743","5,597",19.5,29.1,"1,764","1,370","2,158",35.1,27.3,42.9,"1,177",903,"1,451",33.1,25.4,40.8,"27,009","31,625"
Benton County,MS,"27,586",25.9,28,009,"1,746","2,714",20.3,31.5,814,624,"1,004",38.4,29.4,47.4,551,421,681,35.7,27.3,44.1,"24,958","30,214"
Bolivar County,MS,"28,984",33.9,28,011,"9,617","12,433",29.6,38.2,"4,434","3,861","5,007",52.0,45.3,58.7,"2,895","2,459","3,331",48.3,41.0,55.6,"26,672","31,296"
Calhoun County,MS,"30,281",22.3,28,013,"2,667","3,899",18.1,26.5,"1,173",907,"1,439",31.8,24.6,39.0,791,604,978,30.2,23.1,37.3,"27,516","33,046"
Carroll County,MS,"34,436",18.8,28,015,"1,489","2,347",14.6,23.0,637,482,792,28.2,21.3,35.1,443,336,550,27.4,20.8,34.0,"31,515","37,357"
Chickasaw County,MS,"31,702",24.8,28,017,"3,492","5,028",20.3,29.3,"1,591","1,262","1,920",35.2,27.9,42.5,"1,075",849,"1,301",32.9,26.0,39.8,"29,045","34,359"
Choctaw County,MS,"31,632",23.4,28,019,"1,515","2,433",18.0,28.8,775,594,956,38.1,29.2,47.0,526,401,651,35.2,26.8,43.6,"28,846","34,418"
Claiborne County,MS,"22,750",34.9,28,021,"2,385","3,653",27.6,42.2,"1,153",898,"1,408",51.1,39.8,62.4,776,600,952,47.1,36.4,57.8,"20,769","24,731"
Clarke County,MS,"31,999",25.4,28,023,"3,511","4,961",21.0,29.8,"1,587","1,298","1,876",39.0,31.9,46.1,"1,112",914,"1,310",37.1,30.5,43.7,"29,104","34,894"
Clay County,MS,"30,777",28.4,28,025,"4,709","6,771",23.3,33.5,"2,161","1,713","2,609",41.3,32.7,49.9,"1,424","1,104","1,744",37.6,29.2,46.0,"27,849","33,705"
Coahoma County,MS,"25,719",38.7,28,027,"8,391","11,389",32.8,44.6,"4,144","3,425","4,863",55.0,45.5,64.5,"2,627","2,110","3,144",48.6,39.0,58.2,"23,488","27,950"
Copiah County,MS,"31,275",23.4,28,029,"5,276","8,168",18.4,28.4,"2,590","2,001","3,179",35.7,27.6,43.8,"1,733","1,328","2,138",33.9,26.0,41.8,"28,431","34,119"
Covington County,MS,"32,900",21.7,28,031,"3,274","5,104",17.0,26.4,"1,658","1,264","2,052",33.1,25.2,41.0,"1,138",869,"1,407",31.6,24.1,39.1,"29,765","36,035"
DeSoto County,MS,"58,979",10.4,28,033,"13,859","19,619",8.6,12.2,"6,791","5,390","8,192",15.1,12.0,18.2,"4,609","3,660","5,558",13.8,11.0,16.6,"55,456","62,502"
Forrest County,MS,"32,555",29.0,28,035,"18,575","22,985",25.9,32.1,"6,438","5,530","7,346",36.9,31.7,42.1,"4,063","3,357","4,769",33.7,27.8,39.6,"29,725","35,385"
Franklin County,MS,"32,375",20.8,28,037,"1,291","2,053",16.1,25.5,630,482,778,31.2,23.9,38.5,432,331,533,29.5,22.6,36.4,"29,393","35,357"
George County,MS,"43,487",17.2,28,039,"2,985","4,621",13.5,20.9,"1,534","1,204","1,864",25.5,20.0,31.0,"1,025",800,"1,250",23.6,18.4,28.8,"39,566","47,408"
Greene County,MS,"37,348",23.9,28,041,"2,118","3,302",18.7,29.1,839,648,"1,030",26.9,20.8,33.0,555,427,683,24.2,18.6,29.8,"33,959","40,737"
Grenada County,MS,"32,715",21.5,28,043,"3,622","5,676",16.7,26.3,"1,766","1,359","2,173",33.3,25.6,41.0,"1,208",926,"1,490",31.3,24.0,38.6,"30,057","35,373"
Hancock County,MS,"42,255",18.9,28,045,"6,529","9,941",15.0,22.8,"3,067","2,405","3,729",30.0,23.5,36.5,"2,080","1,628","2,532",28.1,22.0,34.2,"38,978","45,532"
Harrison County,MS,"41,522",19.7,28,047,"30,867","40,725",17.0,22.4,"13,704","11,466","15,942",30.4,25.4,35.4,"8,709","7,072","10,346",27.8,22.6,33.0,"39,235","43,809"
Hinds County,MS,"37,265",22.9,28,049,"48,246","60,650",20.3,25.5,"21,813","18,824","24,802",34.1,29.4,38.8,"15,100","12,957","17,243",32.9,28.2,37.6,"35,567","38,963"
Holmes County,MS,"22,536",41.2,28,051,"6,349","8,879",34.4,48.0,"2,917","2,350","3,484",53.1,42.8,63.4,"2,019","1,626","2,412",52.8,42.5,63.1,"20,778","24,294"
Humphreys County,MS,"24,205",42.2,28,053,"3,143","4,631",34.1,50.3,"1,612","1,280","1,944",61.1,48.5,73.7,"1,060",823,"1,297",58.9,45.8,72.0,"22,040","26,370"
Issaquena County,MS,"27,124",43.3,28,055,385,605,33.7,52.9,161,123,199,60.1,45.9,74.3,111,85,137,57.8,44.0,71.6,"24,455","29,793"
Itawamba County,MS,"37,134",17.2,28,057,"3,006","4,728",13.4,21.0,"1,359","1,040","1,678",25.6,19.6,31.6,913,697,"1,129",23.7,18.1,29.3,"33,975","40,293"
Jackson County,MS,"45,766",16.6,28,059,"19,941","26,035",14.4,18.8,"8,732","7,309","10,155",24.9,20.8,29.0,"5,449","4,419","6,479",21.3,17.3,25.3,"42,982","48,550"
Jasper County,MS,"32,501",19.6,28,061,"2,560","4,076",15.1,24.1,"1,224",923,"1,525",30.1,22.7,37.5,863,655,"1,071",29.0,22.0,36.0,"29,905","35,097"
Jefferson County,MS,"24,671",37.9,28,063,"2,258","3,272",31.0,44.8,945,752,"1,138",52.4,41.7,63.1,622,487,757,47.0,36.8,57.2,"22,290","27,052"
Jefferson Davis County,MS,"27,988",25.0,28,065,"2,338","3,820",19.0,31.0,"1,151",869,"1,433",39.8,30.0,49.6,804,610,998,38.5,29.2,47.8,"25,306","30,670"
Jones County,MS,"35,696",23.4,28,067,"13,199","17,871",19.9,26.9,"5,930","4,878","6,982",34.9,28.7,41.1,"3,823","3,073","4,573",31.9,25.6,38.2,"33,515","37,877"
Kemper County,MS,"27,711",26.6,28,069,"2,002","3,166",20.6,32.6,881,673,"1,089",36.6,28.0,45.2,596,453,739,34.9,26.6,43.2,"25,042","30,380"
Lafayette County,MS,"38,725",20.9,28,071,"7,326","10,442",17.2,24.6,"1,945","1,531","2,359",22.4,17.6,27.2,"1,294","1,005","1,583",21.2,16.5,25.9,"35,245","42,205"
Lamar County,MS,"49,742",16.2,28,073,"7,683","10,391",13.8,18.6,"3,124","2,486","3,762",21.5,17.1,25.9,"2,062","1,622","2,502",20.1,15.8,24.4,"45,343","54,141"
Lauderdale County,MS,"34,199",24.4,28,075,"16,079","21,179",21.1,27.7,"6,865","5,711","8,019",34.9,29.0,40.8,"4,470","3,658","5,282",32.1,26.3,37.9,"31,600","36,798"
